10,-6,10,4,5,21,-20,-1,10,0,-24,-20,-7,-9,12,-13,9,10,-9,52,86,-8,-3,4,13,-9,-2,38
11,6,2,-9,9,16,15,-3,-7,-1,3,26,4,30,8,16,8,-4,0,-15,-75,-4,4,-1,-3,27,-7,8
6,15,10,-4,3,3,-14,11,11,0,7,45,-6,0,-7,8,9,-9,1,5,-18,10,0,-7,-4,30,-1,-3
-4,4,-7,9,5,-7,13,9,-3,-3,-3,2,6,-1,-7,17,-7,-4,11,10,5,8,-4,7,21,0,-8,-4
-6,-3,-7,6,-3,-3,10,9,6,4,-10,-10,-6,-4,-6,8,5,-3,-12,15,34,5,-5,-10,16,-20,-10,19
4,27,11,-9,0,-21,-2,6,-2,-6,27,43,-1,50,-10,-7,-6,-6,9,-7,-64,-10,-2,-8,-17,39,-1,-35
-2,-3,-5,-4,-4,-6,1,4,-7,7,-4,-7,-3,-8,9,-6,1,9,1,-10,-4,-5,6,3,-7,-5,5,-10
-2,1,7,-5,-1,-10,-2,-8,-10,-1,9,3,7,-12,-8,2,6,11,-12,-5,1,-7,2,6,-6,-8,2,-2
-5,-2,-11,5,12,-39,-14,7,-1,6,23,7,-9,-18,1,0,-12,-2,11,-8,22,-1,3,1,-18,-34,-5,-17
-8,0,-10,6,-10,4,9,-12,-11,12,11,8,4,2,3,3,-5,-5,-10,-8,-23,9,-9,6,-5,12,-2,7
-9,-7,8,8,6,-11,-11,3,-7,0,2,-6,-12,-11,-8,-12,0,6,-1,-9,6,6,2,9,-10,-11,4,-8
9,-11,-6,-2,4,-5,6,-5,-4,-4,-2,-6,-6,2,-5,-8,-8,7,4,-3,-9,-3,3,5,-5,6,-9,6
-4,-2,7,-9,-1,11,-44,-4,10,11,-9,12,9,50,-5,-66,10,-9,-9,2,-11,0,-9,-10,-62,14,2,1
3,-10,1,2,-7,1,2,8,-8,9,14,-2,2,14,-11,-28,8,-11,-9,-11,-10,11,-8,5,9,-4,-12,-43
10,-30,-11,-8,-1,-6,12,3,-6,-4,15,-10,7,-7,0,5,5,4,9,-4,-23,11,-8,-9,-7,-15,-10,-35
-1,6,10,4,2,4,-3,-8,0,-11,4,6,-7,-13,5,7,-3,-5,10,8,-6,5,-2,-1,8,1,-2,7
-7,-9,10,0,2,-6,10,-10,-2,8,5,-2,-11,-8,-9,7,12,9,3,-5,-12,-3,11,11,-4,-9,-9,-11
0,-18,12,-3,10,-11,-10,9,-6,7,-26,-69,5,57,10,50,5,-7,-7,-24,20,12,-1,6,-104,40,-9,-46
7,3,-2,-2,-9,0,-1,3,-8,-1,5,8,-12,2,-5,3,-6,9,11,4,-5,-6,0,7,16,7,2,5
-6,-1,3,5,2,-12,0,3,9,4,10,2,-8,6,1,13,-1,-6,6,5,1,3,-8,-7,3,0,-6,5
11,12,4,8,3,-2,8,-8,0,-6,5,9,8,-7,3,20,6,3,8,2,-3,-8,-8,-9,8,-3,4,-2
12,5,-9,-8,8,-7,-4,-7,-10,-9,-2,-2,-7,2,-9,10,11,-8,0,1,0,9,5,-10,12,9,1,-9
-3,2,3,-6,10,6,5,-9,-8,9,13,5,6,0,-8,22,-3,10,1,-7,-5,-9,-9,-9,11,-7,6,14
2,-5,10,-7,-1,-4,2,-3,-1,10,-3,5,-4,-8,-9,1,-4,-5,-7,2,-6,0,-6,-3,3,1,10,4
-8,-25,5,-9,-6,-33,32,-2,-1,6,30,19,2,-42,6,32,8,-5,7,-14,-19,5,0,1,6,-11,3,-47
